InvoiceYearMonth,Revenue,Orders,Customers
2010-01,537491.5,995,718
2010-02,498137.57,1093,771
2010-03,666373.67,1509,1051
2010-04,585557.56,1317,939
2010-05,593036.12,1366,965
2010-06,629990.45,1482,1035
2010-07,582147.96,1364,925
2010-08,595303.17,1277,910
2010-09,805944.81,1659,1136
2010-10,1012421.5,2108,1492
2010-11,1157324.66,2573,1606
2010-12,565749.56,1395,884
2011-01,562882.91,983,739
2011-02,442493.59,992,757
2011-03,583843.85,1312,973
2011-04,454840.88,1139,853
2011-05,659678.49,1544,1054
2011-06,653764.92,1390,990
2011-07,592103.79,1321,946
2011-08,635864.38,1268,933
2011-09,939652.63,1740,1259
2011-10,1003026.56,1903,1361
2011-11,1137634.0,2642,1660
